Name	B1	B2	B3	B4	B5	B6	F1	F2	F3	F4	F5	F6
Tricarballylic anhydride	7.2109521844057	7.171635064300101	7.216990139112366	7.2040708592706695	7.210930370336264	7.1632046157544975	6.520011815470664	6.6948744614448445	6.713521169899934	6.532717285637401	6.505266041250263	6.724148339364325
Pentalenolactone O	7.147541628795859	7.098458739605344	7.142819338927286	7.153240272526407	7.147496623562363	7.0946185780981565	6.095280686672164	6.064915826190867	6.090066900452615	6.067343394104798	6.0782863275496775	6.046589805632881
Allose	7.515123453920369	7.52361719527628	7.496495750471684	7.512768746616747	7.511029812028755	7.519801105974575	7.080025215083162	7.098696352233455	7.10803923038346	7.106883520742873	7.127157577763395	7.094269504012457
Isorhodoptilometrin	7.029194786328609	7.1255147027483785	7.215252177024577	7.190801279750846	7.171666463966567	7.154780763001197	6.766412335809056	6.797687050614607	6.763006993148396	6.786619272866886	6.814968780544491	6.810596151931937
Risedronate	5.480767937628792	5.409765534086614	5.337785920664757	5.337538878629941	5.305961681045816	5.398004476472053	5.730120320392594	5.761001378385267	5.810063932649111	5.799594270693981	5.815295944752274	5.788221509532989
Rubranoside A	4.914369446929154	5.111399858026319	4.433911591406858	5.162045705860465	4.931612327036614	5.073087687085125	5.490648169290106	5.489283149012368	5.522917682713629	5.479550712562772	5.441819388879996	5.491908113243275
propachlor ESA	5.542142163779991	5.524037963146036	5.526379047190367	5.439043150676613	5.440432209621791	5.440953264975604	5.825759888107441	5.833362028816036	5.794792144873697	5.779177729091576	5.750198979304253	5.767782538029786
2-Oxopentanedioic acid 1-octyl ester	7.084208533944491	7.055085868534103	7.053984007706049	7.040429476820018	7.059207143984276	7.051033841838863	7.38670865025083	7.351118710653152	7.376447419707747	7.403809489816257	7.370695848750428	7.366747891771316
Altenuene	6.791512900937388	6.823774489056652	6.7427249888139045	6.782735814783016	6.819736772132554	6.746616093727519	7.147708087642054	7.133676654237784	7.169385159903303	7.185497039797259	7.160318402629659	7.148593516503231
Atpo	7.652242247143787	7.649532501739168	7.653377531936762	7.649664804545416	7.802775775865052	7.641194057861924	7.213247342385456	6.884072011604196	6.880785562070748	6.878407243775979	6.86386897453645	6.884558430507152
Cycloolivil	5.700136320896396	6.201931767630221	6.057073832074478	6.255245265883177	6.273659830259166	6.23827727569435	6.84471100551595	6.834275995162902	6.842182209972092	6.860916375744044	6.844091840327467	6.887561084381459
2-Benzimidazolecarbamonitrile	7.029011516236083	7.051178824567915	7.03974743367154	7.032447447605236	7.0474056623794725	7.063923442867942	6.582987602082931	6.6362576401326185	6.554274540917222	6.569861537038968	6.58491745753155	6.687175789689981
Nitecapone	6.394635561542615	6.437740011717989	6.396573386875477	6.385164225713872	6.3630427958371225	6.322011615217403	5.6254830121961445	5.992832257692638	5.965446325311409	5.949801552146626	5.866897365413063	5.955830792646009
Glu-Ala	4.921170252460706	4.789194749638362	4.922853362721213	4.940095130271222	4.985491160941836	4.955362204197645	5.475140189162164	5.456203623355983	5.523911347531203	5.505369001886929	5.527810462764967	5.497511358791207
